epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.9485,1.30645,1.66839,3.39163,1.19766,0.71933,0.69474,0.73941,0.44916,0.72245,0.71053,0.74999,0.47163,1.19505,1.98184,1.34703,1.14742,0.0700857,0.00332381,0.00332381
2,140.273,1.26901,1.48995,2.09503,1.19921,0.80171,0.77318,0.8087,0.54027,0.81445,0.78546,0.82139,0.5871,1.0969,1.77495,1.14779,1.07709,0.0399539,0.00652533,0.00652533
3,197.688,1.16577,1.45179,1.96534,1.13545,0.75933,0.68947,0.76771,0.56808,0.76846,0.69474,0.76533,0.5597,0.98339,1.72923,1.27017,1.03311,0.00969009,0.00959485,0.00959485
4,253.254,1.13973,1.42854,1.89463,1.12128,0.89802,0.75789,0.84473,0.59935,0.89594,0.75614,0.84483,0.62464,1.00384,1.45862,1.21336,1.03647,0.009406,0.009406,0.009406
5,308.802,1.05926,1.2899,1.81182,1.08119,0.83542,0.74804,0.83362,0.61791,0.83934,0.75155,0.83312,0.60286,0.86224,1.33995,1.34331,0.98343,0.009208,0.009208,0.009208
6,362.137,1.0545,1.25911,1.8467,1.08879,0.69002,0.75762,0.74504,0.53114,0.69002,0.75762,0.74111,0.51775,0.93369,1.56193,1.43343,1.00981,0.00901,0.00901,0.00901
7,418.312,0.9697,1.21453,1.79827,1.05196,0.84895,0.74937,0.81621,0.58242,0.86789,0.76065,0.83279,0.5995,0.92494,1.54244,1.34375,1.0094,0.008812,0.008812,0.008812
8,473.175,0.96548,1.20355,1.76281,1.04194,0.58833,0.72105,0.67264,0.46107,0.59119,0.72456,0.67163,0.43348,0.94886,1.63463,1.32433,1.02518,0.008614,0.008614,0.008614
9,528.877,0.93478,1.16501,1.76289,1.0292,0.88754,0.77539,0.85901,0.66478,0.88984,0.77193,0.85497,0.64349,0.83763,1.33744,1.21114,0.96604,0.008416,0.008416,0.008416
10,585.679,0.91008,1.12272,1.80633,1.01672,0.88551,0.80054,0.87825,0.66642,0.89502,0.80769,0.88424,0.65123,0.7961,1.27416,1.0794,0.96529,0.008218,0.008218,0.008218
11,640.173,0.87587,1.10353,1.71139,1.00217,0.87046,0.80702,0.89029,0.71174,0.87285,0.80688,0.88751,0.67812,0.74294,1.1715,1.23583,0.92896,0.00802,0.00802,0.00802
12,695.48,0.85662,1.10512,1.66695,0.99472,0.85625,0.82556,0.88416,0.69298,0.84762,0.81404,0.87834,0.67132,0.75916,1.19692,1.24895,0.9345,0.007822,0.007822,0.007822
13,750.252,0.8413,1.11059,1.75044,0.99034,0.85992,0.77543,0.8702,0.69008,0.86723,0.79072,0.87589,0.64637,0.75609,1.30482,1.22805,0.93869,0.007624,0.007624,0.007624
14,808.303,0.86337,1.05762,1.82549,0.99402,0.87892,0.81507,0.89088,0.69912,0.88842,0.81015,0.88718,0.68325,0.73619,1.16024,0.97646,0.92862,0.007426,0.007426,0.007426
15,865.829,0.83002,1.05175,1.69017,0.98438,0.87024,0.8001,0.88087,0.71051,0.8762,0.80712,0.88596,0.68969,0.75272,1.1293,1.09242,0.93109,0.007228,0.007228,0.007228
16,922.807,0.80488,0.99927,1.67315,0.97985,0.87605,0.82632,0.87968,0.6598,0.86861,0.8193,0.87259,0.61163,0.75797,1.16083,1.04999,0.93839,0.00703,0.00703,0.00703
17,980.021,0.78695,1.01588,1.76278,0.96924,0.86515,0.83509,0.89791,0.69629,0.87212,0.8375,0.90067,0.67194,0.70447,1.1322,1.14064,0.91925,0.006832,0.006832,0.006832
18,1036.97,0.81909,0.99338,1.77344,0.97381,0.82808,0.82982,0.87326,0.68237,0.83334,0.83509,0.87589,0.64454,0.69528,1.21647,1.25691,0.92179,0.006634,0.006634,0.006634
19,1095.27,0.75648,0.99531,1.81017,0.94975,0.85778,0.82533,0.86873,0.67968,0.86872,0.83586,0.88128,0.63626,0.70187,1.10471,1.06962,0.91481,0.006436,0.006436,0.006436
20,1152.99,0.76307,0.95616,1.72172,0.95465,0.83381,0.8,0.88804,0.69251,0.84844,0.81404,0.89997,0.68057,0.73152,1.0488,1.206,0.9275,0.006238,0.006238,0.006238
21,1210.96,0.75808,0.95733,1.74206,0.95097,0.87351,0.81404,0.88437,0.68115,0.88247,0.82982,0.90443,0.65179,0.70231,1.04772,1.03126,0.91816,0.00604,0.00604,0.00604
22,1268.3,0.7797,0.97977,1.60904,0.9582,0.91183,0.83457,0.91821,0.7275,0.89946,0.84035,0.92155,0.6756,0.66296,1.0138,1.14382,0.91127,0.005842,0.005842,0.005842
23,1324.68,0.77594,0.9891,1.60577,0.95649,0.86615,0.81754,0.90224,0.73085,0.87497,0.82259,0.9016,0.70859,0.66459,0.99239,1.19186,0.90752,0.005644,0.005644,0.005644
24,1380.38,0.73783,0.94664,1.63465,0.94268,0.82288,0.79875,0.8772,0.70986,0.83372,0.80927,0.88639,0.68714,0.68742,1.04434,1.19088,0.92179,0.005446,0.005446,0.005446
25,1436.58,0.74789,0.94229,1.71863,0.94777,0.86498,0.81228,0.90271,0.74195,0.86685,0.81404,0.90005,0.69466,0.64321,1.00012,1.10601,0.89774,0.005248,0.005248,0.005248
26,1492.81,0.7341,0.92063,1.56146,0.9428,0.83367,0.82655,0.89164,0.71533,0.84429,0.83708,0.90213,0.68452,0.6989,0.99157,1.29457,0.94474,0.00505,0.00505,0.00505
27,1548.49,0.71464,0.91927,1.77018,0.94005,0.8412,0.81404,0.88033,0.71476,0.86149,0.82926,0.89536,0.6865,0.72039,1.00236,1.307,0.94447,0.004852,0.004852,0.004852
28,1605.98,0.70945,0.92244,1.65845,0.93691,0.88494,0.83158,0.91548,0.74837,0.88807,0.83684,0.91915,0.71048,0.63883,0.97936,1.02489,0.90001,0.004654,0.004654,0.004654
29,1663.43,0.70665,0.89171,1.64516,0.93934,0.86133,0.82819,0.91825,0.74628,0.86222,0.82807,0.90862,0.70475,0.64616,1.011,1.12738,0.90059,0.004456,0.004456,0.004456
30,1721.9,0.68655,0.87379,1.57812,0.92992,0.86863,0.81202,0.89679,0.72729,0.88634,0.82281,0.89888,0.68182,0.63512,0.97457,1.20674,0.90546,0.004258,0.004258,0.004258
31,1779.62,0.69947,0.86965,1.88684,0.93591,0.87801,0.82281,0.91314,0.74357,0.89526,0.83333,0.90907,0.7071,0.63433,0.95846,1.08188,0.8944,0.00406,0.00406,0.00406
32,1838.18,0.68584,0.86903,1.54804,0.92379,0.86442,0.83333,0.91294,0.7345,0.87603,0.84386,0.91539,0.70384,0.66191,0.97734,1.14644,0.91245,0.003862,0.003862,0.003862
33,1896.02,0.6809,0.8641,1.59149,0.92643,0.89969,0.84561,0.92614,0.76766,0.90797,0.84561,0.92065,0.71804,0.63851,0.92142,1.07347,0.8988,0.003664,0.003664,0.003664
34,1952.65,0.66693,0.87236,1.53566,0.9192,0.86779,0.80877,0.90988,0.765,0.88096,0.82105,0.90988,0.71546,0.63092,0.96593,1.09042,0.88868,0.003466,0.003466,0.003466
35,2010.98,0.68204,0.86398,1.62391,0.918,0.88896,0.83158,0.91257,0.75366,0.89101,0.83185,0.91402,0.70385,0.6381,0.93385,1.12878,0.9056,0.003268,0.003268,0.003268
36,2068.72,0.6633,0.83659,1.59463,0.92238,0.86872,0.8386,0.91495,0.74722,0.88154,0.84858,0.92226,0.70097,0.62921,0.9206,1.19475,0.89161,0.00307,0.00307,0.00307
37,2127.42,0.65123,0.81933,1.56221,0.90835,0.87749,0.82456,0.88594,0.7053,0.89394,0.83684,0.89493,0.65348,0.63203,0.93012,0.97861,0.90287,0.002872,0.002872,0.002872
38,2185.44,0.64232,0.8427,1.54386,0.90248,0.87662,0.81754,0.90983,0.74754,0.89692,0.82436,0.90989,0.69923,0.63029,0.94729,1.09194,0.90307,0.002674,0.002674,0.002674
39,2245.53,0.63084,0.78391,1.63132,0.90193,0.86105,0.83333,0.91684,0.7468,0.86857,0.82456,0.91252,0.68949,0.62418,0.89608,1.0121,0.89973,0.002476,0.002476,0.002476
40,2304.01,0.63857,0.81327,1.62806,0.9002,0.89903,0.8279,0.90759,0.72409,0.91212,0.83757,0.91623,0.67119,0.60107,0.96383,1.07256,0.89268,0.002278,0.002278,0.002278
41,2377.76,0.57634,0.76395,2.53596,0.85484,0.88534,0.81279,0.91386,0.74867,0.89872,0.82508,0.91584,0.69057,0.60431,0.89947,1.33345,0.89287,0.00208,0.00208,0.00208
42,2433.96,0.59423,0.75797,2.24779,0.86957,0.90701,0.8193,0.91358,0.76535,0.92378,0.82926,0.92052,0.7158,0.62222,0.9334,1.26458,0.90046,0.001882,0.001882,0.001882
43,2489.65,0.6043,0.77841,2.26501,0.87872,0.8791,0.81404,0.90784,0.74829,0.89397,0.82456,0.91255,0.69933,0.60599,0.93743,1.27393,0.89495,0.001684,0.001684,0.001684
44,2546.75,0.59079,0.77555,2.36296,0.86924,0.87791,0.82,0.90641,0.74276,0.89826,0.83158,0.91339,0.70035,0.6156,0.92254,1.17658,0.8996,0.001486,0.001486,0.001486
45,2602.15,0.58201,0.76493,2.20189,0.87278,0.88713,0.82735,0.91931,0.75707,0.89517,0.824,0.91661,0.6979,0.62144,0.9423,1.28991,0.90334,0.001288,0.001288,0.001288
46,2657.8,0.55135,0.74441,2.45712,0.86184,0.87755,0.8386,0.92274,0.75748,0.89381,0.84561,0.91564,0.69566,0.624,0.91911,1.14014,0.89776,0.00109,0.00109,0.00109
47,2714.19,0.5747,0.75612,2.15425,0.86809,0.87713,0.83509,0.91825,0.76793,0.8867,0.83751,0.915,0.71136,0.60044,0.93167,1.25962,0.89053,0.000892,0.000892,0.000892
48,2769.76,0.55872,0.71918,2.32644,0.85506,0.88773,0.84386,0.92728,0.76961,0.89413,0.84035,0.91794,0.70111,0.59164,0.8992,1.23197,0.88694,0.000694,0.000694,0.000694
